,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Toba,34.48,136.85,26.67,78,20,3.6,JP,1596229847
1,Buraidah,26.33,43.98,38.0,24,20,1.5,SA,1596229733
2,Mīnāb,27.15,57.08,33.0,75,40,5.1,IR,1596229847
3,Palmer,42.16,-72.33,31.67,40,40,3.1,US,1596229847
4,Lasem,-6.69,111.45,23.09,82,23,2.95,ID,1596229848
5,Olafsvik,64.89,-23.71,10.0,90,100,9.41,IS,1596229695
6,Bredasdorp,-34.53,20.04,8.0,93,0,2.1,ZA,1596229848
7,Ushuaia,-54.8,-68.3,6.0,45,40,7.2,AR,1596229619
8,Hilo,19.73,-155.09,28.0,58,90,4.6,US,1596229848
9,Daru,-9.08,143.21,23.76,72,90,6.73,PG,1596229719
10,Kavieng,-2.57,150.8,28.35,80,55,5.92,PG,1596229849
11,Rønde,56.3,10.48,16.0,87,0,1.07,DK,1596229849
12,Rome,43.21,-75.46,28.0,48,20,3.1,US,1596229805
13,Hermanus,-34.42,19.23,8.89,94,0,0.45,ZA,1596229625
14,Huaraz,-9.53,-77.53,19.32,27,9,1.24,PE,1596229849
15,Carupano,10.67,-63.26,28.07,81,34,4.55,VE,1596229849
16,Redlands,34.06,-117.18,42.0,9,20,4.1,US,1596229849
17,Port Macquarie,-31.43,152.92,9.44,87,7,2.37,AU,1596229850
18,Atagay,55.1,99.39,14.28,94,66,2.08,RU,1596229850
19,Cape Town,-33.93,18.42,13.33,100,0,2.1,ZA,1596229563
20,Vaitape,-16.52,-151.75,26.58,81,0,6.39,PF,1596229748
21,Avarua,-21.21,-159.78,22.0,64,9,2.1,CK,1596229650
22,Tilichiki,60.47,166.1,12.65,81,74,2.21,RU,1596229850
23,Cam Ranh,11.92,109.16,28.0,78,40,1.5,VN,1596229790
24,Lompoc,34.64,-120.46,19.0,68,9,7.2,US,1596229851
25,Hasaki,35.73,140.83,22.22,100,75,3.1,JP,1596229851
26,Mataura,-46.19,168.86,9.66,87,100,1.68,NZ,1596229613
27,Esperance,-33.87,121.9,9.0,100,40,3.1,AU,1596229851
28,Atuona,-9.8,-139.03,26.21,70,83,8.08,PF,1596229851
29,Iqaluit,63.75,-68.51,12.0,93,90,1.0,CA,1596229851
30,Provideniya,64.38,-173.3,9.62,67,0,2.37,RU,1596229683
31,Pevek,69.7,170.31,2.0,96,99,2.68,RU,1596229852
32,Catarman,12.5,124.64,24.4,91,100,1.35,PH,1596229852
33,Maningrida,-12.07,134.27,17.13,95,59,4.41,AU,1596229852
34,Bambous Virieux,-20.34,57.76,22.0,83,40,3.6,MU,1596229852
35,Petapa,14.5,-90.55,26.0,50,75,5.1,GT,1596229852
36,Lata,40.16,-8.33,19.44,92,0,3.58,PT,1596229853
37,Nayoro,44.35,142.46,19.49,89,78,0.92,JP,1596229853
38,Vaini,-21.2,-175.2,21.0,77,75,4.6,TO,1596229623
39,Rikitea,-23.12,-134.97,23.24,85,99,5.13,PF,1596229853
40,Shimoda,34.67,138.95,20.56,95,58,0.89,JP,1596229853
41,Ahipara,-35.17,173.17,14.58,80,100,5.91,NZ,1596229854
42,Varhaug,58.61,5.65,16.11,87,36,1.5,NO,1596229854
43,Bethel,41.37,-73.41,28.0,54,1,2.1,US,1596229609
44,La Rioja,-29.41,-66.85,18.01,26,0,1.76,AR,1596229854
45,New Norfolk,-42.78,147.06,10.0,70,100,0.45,AU,1596229855
46,Bluff,-46.6,168.33,10.0,90,100,2.12,NZ,1596229614
47,Rio Grande,-32.03,-52.1,17.0,72,100,5.1,BR,1596229855
48,Yellowknife,62.46,-114.35,22.78,52,75,5.7,CA,1596229803
49,Barrow,71.29,-156.79,4.0,80,90,2.6,US,1596229855
50,Jamestown,42.1,-79.24,26.11,54,75,4.1,US,1596229667
51,Lawrenceburg,38.04,-84.9,27.22,74,90,2.1,US,1596229856
52,Chokurdakh,70.63,147.92,8.44,72,100,1.33,RU,1596229856
53,Puerto Ayora,-0.74,-90.35,25.0,69,75,5.1,EC,1596229856
54,Cayenne,4.93,-52.33,29.0,74,99,2.6,GF,1596229856
55,Hirado,33.36,129.55,26.67,89,100,1.94,JP,1596229856
56,Coquimbo,-29.95,-71.34,17.0,51,0,7.7,CL,1596229857
57,Tuktoyaktuk,69.45,-133.04,17.0,77,40,7.7,CA,1596229857
58,Oranjestad,12.52,-70.03,33.0,59,20,11.8,AW,1596229667
59,Vincennes,48.85,2.43,30.0,42,33,2.1,FR,1596229857
60,Dingle,11.0,122.67,24.28,92,100,1.95,PH,1596229656
61,Macusani,-14.08,-70.43,10.01,45,40,2.55,PE,1596229858
62,Busselton,-33.65,115.33,7.22,87,62,1.65,AU,1596229858
63,Verkhnevilyuysk,63.45,120.32,12.66,77,0,1.24,RU,1596229858
64,Beni Suef,29.07,31.1,29.33,37,0,6.13,EG,1596229858
65,Camacha,33.08,-16.33,21.0,73,20,5.7,PT,1596229774
66,George Town,5.41,100.34,25.0,88,20,0.5,MY,1596229805
67,Pundaguitan,6.37,126.17,27.66,77,100,2.61,PH,1596229859
68,Palora,-1.7,-77.93,21.0,88,90,2.1,EC,1596229859
69,Punta Arenas,-53.15,-70.92,3.89,86,75,8.7,CL,1596229498
70,Tiarei,-17.53,-149.33,28.0,69,75,4.6,PF,1596229859
71,Chegdomyn,51.12,133.02,18.2,94,100,0.66,RU,1596229859
72,Dhandhuka,22.37,71.98,29.87,74,100,4.26,IN,1596229860
73,Praia,14.92,-23.51,26.0,74,75,4.1,CV,1596229860
74,‘Āhuimanu,21.44,-157.84,30.0,54,40,5.1,US,1596229860
75,Westport,41.14,-73.36,26.67,69,1,2.6,US,1596229860
76,Saldanha,-33.01,17.94,13.0,87,0,3.6,ZA,1596229861
77,Dikson,73.51,80.55,13.55,67,99,6.03,RU,1596229861
78,Ponta do Sol,32.67,-17.1,22.0,73,20,4.6,PT,1596229861
79,Ribeira Grande,38.52,-28.7,23.0,60,20,4.1,PT,1596229861
80,Māngrol,21.12,70.12,28.72,82,100,3.12,IN,1596229861
81,Abu Samrah,35.3,37.18,25.04,55,0,5.58,SY,1596229862
82,Bathsheba,13.22,-59.52,30.0,66,20,6.2,BB,1596229741
