,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,20.56,75,34,2.45,US,1596447946
1,Dargaville,-35.93,173.88,10.59,93,41,2.26,NZ,1596448204
2,Bukachacha,52.98,116.92,16.25,78,100,4.57,RU,1596448205
3,Vila do Maio,15.13,-23.22,28.0,69,20,3.1,CV,1596448205
4,Ondjiva,-17.07,15.73,22.0,17,0,4.1,AO,1596448205
5,Chokurdakh,70.63,147.92,10.08,66,100,3.25,RU,1596448205
6,Vaini,-21.2,-175.2,24.0,88,90,2.6,TO,1596448205
7,Ardakān,32.31,54.02,41.0,10,20,3.1,IR,1596448205
8,Rikitea,-23.12,-134.97,22.82,82,74,7.63,PF,1596448206
9,Hithadhoo,-0.6,73.08,28.51,77,100,5.14,MV,1596448206
10,Jamame,0.07,42.75,28.9,58,38,8.9,SO,1596448206
11,Kapaa,22.08,-159.32,26.0,78,90,8.2,US,1596447958
12,Mount Isa,-20.73,139.5,23.0,23,0,3.1,AU,1596448026
13,Kismayo,-0.36,42.55,27.43,66,42,9.42,SO,1596448207
14,Saint Paul Harbor,57.79,-152.41,11.0,87,1,1.5,US,1596448207
15,Ushuaia,-54.8,-68.3,7.0,45,40,7.7,AR,1596448000
16,East London,-33.02,27.91,32.0,10,0,5.1,ZA,1596448044
17,Evensk,61.95,159.23,13.37,59,68,2.22,RU,1596448207
18,Longyearbyen,78.22,15.64,7.0,100,90,1.5,SJ,1596448207
19,Santa Cruz de la Sierra,-17.8,-63.17,16.0,87,0,2.1,BO,1596448208
20,Beloha,-25.17,45.05,24.37,43,0,7.35,MG,1596448208
21,Pimentel,-6.84,-79.93,15.78,90,99,3.65,PE,1596448208
22,Road Town,18.42,-64.62,28.33,87,0,2.68,VG,1596448208
23,Cherskiy,68.75,161.3,8.59,93,85,3.28,RU,1596448208
24,New Norfolk,-42.78,147.06,6.67,80,85,0.89,AU,1596448208
25,Cabo San Lucas,22.89,-109.91,29.44,55,15,0.89,MX,1596448034
26,Cape Town,-33.93,18.42,18.89,72,75,6.2,ZA,1596448209
27,Bluff,-46.6,168.33,8.85,83,100,3.68,NZ,1596447953
28,Chipata,-13.63,32.65,24.68,34,30,4.04,ZM,1596448209
29,Butaritari,3.07,172.79,28.51,74,99,7.5,KI,1596448209
30,Kaitangata,-46.28,169.85,8.89,92,85,1.34,NZ,1596448209
31,Hobart,-42.88,147.33,8.0,87,75,5.1,AU,1596448040
32,Punta Arenas,-53.15,-70.92,3.0,86,95,7.7,CL,1596448210
33,Juigalpa,12.11,-85.36,23.14,88,100,1.82,NI,1596448210
34,Mataura,-46.19,168.86,7.01,91,95,1.07,NZ,1596448210
35,Puri,19.8,85.85,33.0,75,75,4.6,IN,1596448210
36,Eureka,40.8,-124.16,15.56,93,1,2.1,US,1596447941
37,Mar del Plata,-38.0,-57.56,8.89,100,0,3.57,AR,1596448187
38,Kumluca,36.37,30.29,32.17,51,1,4.66,TR,1596448211
39,Airai,-8.93,125.41,14.0,94,84,0.66,TL,1596448211
40,Busselton,-33.65,115.33,11.67,64,53,5.1,AU,1596448211
41,Thompson,55.74,-97.86,11.0,93,5,1.0,CA,1596447999
42,Kaseda-shirakame,31.42,130.32,30.0,70,75,4.1,JP,1596448211
43,Carnarvon,-24.87,113.63,17.0,82,75,7.7,AU,1596448211
44,Sotouboua,8.57,0.98,25.46,75,100,3.83,TG,1596448212
45,Borogontsy,62.67,131.17,22.06,48,66,2.18,RU,1596448212
46,Wainwright,52.84,-110.86,18.26,54,0,6.06,CA,1596448212
47,Bengkulu,-3.8,102.27,26.81,88,98,4.04,ID,1596448212
48,Ibotirama,-12.19,-43.22,17.43,70,8,2.18,BR,1596448212
49,Bredasdorp,-34.53,20.04,18.0,68,0,3.1,ZA,1596448067
50,Avarua,-21.21,-159.78,16.0,93,9,2.1,CK,1596448213
51,Nuuk,64.18,-51.72,7.0,100,75,2.6,GL,1596448213
52,Pisco,-13.7,-76.22,15.0,87,75,1.0,PE,1596448164
53,George Town,5.41,100.34,31.0,70,20,4.6,MY,1596448213
54,Vilyuysk,63.76,121.62,23.6,43,7,1.59,RU,1596448213
55,Westport,41.14,-73.36,27.78,83,1,2.6,US,1596448214
56,Inuvik,68.35,-133.72,12.0,93,90,2.1,CA,1596448214
57,Bethel,41.37,-73.41,24.0,69,1,2.1,US,1596448214
58,Hermanus,-34.42,19.23,19.44,63,5,2.68,ZA,1596448214
59,Jieshou,33.26,115.36,32.63,76,55,3.31,CN,1596448214
60,Lebu,-37.62,-73.65,10.86,93,58,5.14,CL,1596448215
61,Touros,-5.2,-35.46,20.0,100,40,2.1,BR,1596448215
62,Tasiilaq,65.61,-37.64,6.0,87,90,1.5,GL,1596448215
63,Souillac,-20.52,57.52,22.0,60,75,7.2,MU,1596448215
64,Mahon,39.89,4.27,24.0,64,20,8.7,ES,1596448215
65,Kokopo,-4.35,152.26,26.57,82,20,5.91,PG,1596448215
66,Soligalich,59.08,42.29,19.29,52,48,3.02,RU,1596448215
67,Port Alfred,-33.59,26.89,29.28,19,0,8.63,ZA,1596448216
68,Kashgar,39.45,75.98,31.0,19,0,5.0,CN,1596448216
69,Atuona,-9.8,-139.03,25.73,73,0,7.02,PF,1596448216
70,Telšiai,55.98,22.25,17.39,87,100,2.18,LT,1596448216
71,Mossamedes,-15.2,12.15,21.0,83,90,1.65,AO,1596448216
